code,date,name,weight
000001,2018-03-30,平安银行,0.83
000002,2018-03-30,万科Ａ,1.43
000008,2018-03-30,神州高铁,0.1
000060,2018-03-30,中金岭南,0.14
000063,2018-03-30,中兴通讯,0.63
000069,2018-03-30,华侨城Ａ,0.24
000100,2018-03-30,TCL集团,0.25
000157,2018-03-30,中联重科,0.16
000166,2018-03-30,申万宏源,0.2
000333,2018-03-30,美的集团,2.18
000338,2018-03-30,潍柴动力,0.35
000402,2018-03-30,金 融 街,0.1
000413,2018-03-30,东旭光电,0.26
000415,2018-03-30,渤海金控,0.1
000423,2018-03-30,东阿阿胶,0.28
000425,2018-03-30,徐工机械,0.15
000503,2018-03-30,海虹控股,0.25
000538,2018-03-30,云南白药,0.46
000540,2018-03-30,中天金融,0.18
000559,2018-03-30,万向钱潮,0.11
000568,2018-03-30,泸州老窖,0.37
000623,2018-03-30,吉林敖东,0.17
000625,2018-03-30,长安汽车,0.19
000627,2018-03-30,天茂集团,0.1
000630,2018-03-30,铜陵有色,0.15
000651,2018-03-30,格力电器,1.99
000671,2018-03-30,阳光城,0.11
000686,2018-03-30,东北证券,0.1
000709,2018-03-30,河钢股份,0.13
000723,2018-03-30,美锦能源,0.06
000725,2018-03-30,京东方A,1.11
000728,2018-03-30,国元证券,0.16
000738,2018-03-30,航发控制,0.07
000750,2018-03-30,国海证券,0.11
000768,2018-03-30,中航飞机,0.21
000776,2018-03-30,广发证券,0.43
000783,2018-03-30,长江证券,0.25
000792,2018-03-30,盐湖股份,0.16
000826,2018-03-30,启迪桑德,0.13
000839,2018-03-30,中信国安,0.17
000858,2018-03-30,五 粮 液,1.11
000876,2018-03-30,新 希 望,0.14
000895,2018-03-30,双汇发展,0.22
000898,2018-03-30,鞍钢股份,0.1
000938,2018-03-30,紫光股份,0.09
000959,2018-03-30,首钢股份,0.07
000961,2018-03-30,中南建设,0.12
000963,2018-03-30,华东医药,0.28
000983,2018-03-30,西山煤电,0.11
001979,2018-03-30,招商蛇口,0.46
002007,2018-03-30,华兰生物,0.15
002008,2018-03-30,大族激光,0.41
002024,2018-03-30,苏宁易购,0.46
002027,2018-03-30,分众传媒,0.56
002044,2018-03-30,美年健康,0.25
002065,2018-03-30,东华软件,0.14
002074,2018-03-30,国轩高科,0.13
002081,2018-03-30,金螳螂,0.18
002142,2018-03-30,宁波银行,0.43
002146,2018-03-30,荣盛发展,0.15
002153,2018-03-30,石基信息,0.08
002174,2018-03-30,游族网络,0.08
002202,2018-03-30,金风科技,0.33
002230,2018-03-30,科大讯飞,0.52
002236,2018-03-30,大华股份,0.39
002241,2018-03-30,歌尔股份,0.23
