code,date,name,weight
603806,2018-03-30,福斯特,0.07
603816,2018-03-30,顾家家居,0.13
603868,2018-03-30,飞科电器,0.07
603877,2018-03-30,太平鸟,0.04
603883,2018-03-30,老百姓,0.15
603888,2018-03-30,新华网,0.08
000006,2018-03-30,深振业Ａ,0.17
000009,2018-03-30,中国宝安,0.32
000012,2018-03-30,南  玻Ａ,0.18
000021,2018-03-30,深科技,0.16
000025,2018-03-30,特力A,0.05
000027,2018-03-30,深圳能源,0.17
000028,2018-03-30,国药一致,0.22
000031,2018-03-30,中粮地产,0.21
000039,2018-03-30,中集集团,0.31
000049,2018-03-30,德赛电池,0.1
000050,2018-03-30,深天马Ａ,0.32
000061,2018-03-30,农 产 品,0.12
000062,2018-03-30,深圳华强,0.1
000066,2018-03-30,中国长城,0.35
000078,2018-03-30,海王生物,0.24
000089,2018-03-30,深圳机场,0.21
000090,2018-03-30,天健集团,0.14
000099,2018-03-30,中信海直,0.09
000156,2018-03-30,华数传媒,0.16
000158,2018-03-30,常山北明,0.13
000400,2018-03-30,许继电气,0.17
000401,2018-03-30,冀东水泥,0.33
000418,2018-03-30,小天鹅Ａ,0.36
000426,2018-03-30,兴业矿业,0.13
000488,2018-03-30,晨鸣纸业,0.38
000501,2018-03-30,鄂武商Ａ,0.14
000513,2018-03-30,丽珠集团,0.39
000519,2018-03-30,中兵红箭,0.12
000528,2018-03-30,柳工,0.17
000536,2018-03-30,华映科技,0.06
000541,2018-03-30,佛山照明,0.12
000543,2018-03-30,皖能电力,0.13
000547,2018-03-30,航天发展,0.26
000552,2018-03-30,靖远煤电,0.1
000563,2018-03-30,陕国投Ａ,0.15
000566,2018-03-30,海南海药,0.3
000572,2018-03-30,海马汽车,0.11
000581,2018-03-30,威孚高科,0.28
000587,2018-03-30,金洲慈航,0.15
000592,2018-03-30,平潭发展,0.16
000596,2018-03-30,古井贡酒,0.17
000598,2018-03-30,兴蓉环境,0.22
000600,2018-03-30,建投能源,0.13
000612,2018-03-30,焦作万方,0.15
000636,2018-03-30,风华高科,0.26
000652,2018-03-30,泰达股份,0.12
000656,2018-03-30,金科股份,0.36
000661,2018-03-30,长春高新,0.61
000662,2018-03-30,天夏智慧,0.08
000667,2018-03-30,美好置业,0.19
000669,2018-03-30,金鸿控股,0.1
000680,2018-03-30,山推股份,0.11
000681,2018-03-30,视觉中国,0.24
000685,2018-03-30,中山公用,0.22
000690,2018-03-30,宝新能源,0.35
000703,2018-03-30,恒逸石化,0.32
000712,2018-03-30,锦龙股份,0.17
000718,2018-03-30,苏宁环球,0.15
000727,2018-03-30,华东科技,0.16
000729,2018-03-30,燕京啤酒,0.26
000732,2018-03-30,泰禾集团,0.34
000758,2018-03-30,中色股份,0.17
000761,2018-03-30,本钢板材,0.05
000762,2018-03-30,西藏矿业,0.14
000766,2018-03-30,通化金马,0.13
000777,2018-03-30,中核科技,0.1
000778,2018-03-30,新兴铸管,0.24
000786,2018-03-30,北新建材,0.55
000806,2018-03-30,银河生物,0.13
000807,2018-03-30,云铝股份,0.2
000816,2018-03-30,智慧农业,0.1
000825,2018-03-30,太钢不锈,0.32
000829,2018-03-30,天音控股,0.12
000830,2018-03-30,鲁西化工,0.44
000848,2018-03-30,承德露露,0.13
000860,2018-03-30,顺鑫农业,0.2
000877,2018-03-30,天山股份,0.16
000878,2018-03-30,云南铜业,0.24
000887,2018-03-30,中鼎股份,0.32
000897,2018-03-30,津滨发展,0.1
000926,2018-03-30,福星股份,0.18
000930,2018-03-30,中粮生化,0.32
000937,2018-03-30,冀中能源,0.13
000939,2018-03-30,凯迪生态,0.19
000960,2018-03-30,锡业股份,0.28
000969,2018-03-30,安泰科技,0.12
000970,2018-03-30,中科三环,0.26
000975,2018-03-30,银泰资源,0.25
000977,2018-03-30,浪潮信息,0.47
000979,2018-03-30,中弘股份,0.28
000981,2018-03-30,银亿股份,0.26
000987,2018-03-30,越秀金控,0.07
