code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
600675,中华企业,0.2,-44.16,,10.68,,36677.23,-44.04,,02-14
600463,空港股份,0.05,-44.14,,1.13,,1572.52,-44.14,10派0.16,03-14
300569,天能重工,0.64,-76.11,,5.81,,9558.28,-44.22,,03-28
002465,海格通信,0.13,-48.0,,3.89,,29328.42,-44.68,10派0.8,03-28
002616,长青集团,0.12,-73.62,,4.3,,8758.04,-46.31,,03-27
600060,海信电器,0.72,-46.43,,7.0,,94188.23,-46.45,10派2.16,03-29
000712,锦龙股份,0.22,-46.34,,5.24,,19428.32,-46.85,10派1,03-22
600343,航天动力,0.02,-46.88,,0.72,,1575.49,-46.88,,03-31
002796,世嘉科技,0.32,-52.94,,5.29,,2569.25,-47.15,,03-20
600052,浙江广厦,0.22,-46.34,,8.62,,18859.22,-47.24,,03-23
601555,东吴证券,0.26,-48.0,,3.85,,78812.28,-47.4,10派1.5,03-29
000905,厦门港务,0.2,-48.72,,4.13,,10865.62,-47.41,10派0.2,03-24
000550,江铃汽车,0.8,-47.71,,5.51,,69093.82,-47.58,10派3.2,03-24
000536,华映科技,0.07,-80.96,,1.57,,20498.49,-48.19,10派1,03-03
300130,新国都,0.29,-51.67,,4.46,,7193.39,-48.26,10派1.5转8,03-22
600664,哈药股份,0.16,-50.0,,5.6,,40697.59,-48.36,10派5,02-10
600053,九鼎投资,0.75,-48.43,,17.2,,32384.65,-48.43,,03-21
002703,浙江世宝,0.04,-79.4,,2.21,,3265.61,-48.56,,03-26
603021,山东华鹏,0.08,-82.22,,1.96,,2636.47,-48.67,,03-16
000096,广聚能源,0.28,-49.09,,6.46,,15019.4,-48.72,10派0.2,03-27
002409,雅克科技,0.1,-50.64,,2.25,,3452.8,-49.1,10派0.11,03-30
000686,东北证券,0.28,-51.72,,4.26,,66694.66,-49.28,10派1,03-30
300436,广生堂,0.24,-49.24,,6.43,,3356.53,-49.46,,03-21
002662,京威股份,0.25,-70.59,,6.69,,31672.38,-50.16,,03-22
000727,华东科技,0.0,-50.0,,0.11,,1164.62,-50.65,,03-28
600433,冠豪高新,0.04,-55.56,,2.09,,5279.02,-51.36,10派0.13,03-19
600199,金种子酒,0.01,-66.67,,0.36,,818.98,-51.88,10派0.1,03-17
601633,长城汽车,0.55,-52.42,,10.48,,502729.8,-52.35,10派1.7,03-24
002017,东信和平,0.11,-54.17,,4.08,,3772.82,-53.83,10派0.3,03-30
300256,星星科技,0.1,-55.93,,1.95,,6661.28,-54.39,10派0.2转5,03-24
002631,德尔未来,0.13,-55.17,,5.72,,8564.44,-55.17,10派0.2,03-30
002272,川润股份,0.02,-55.91,,0.55,,643.89,-55.74,,03-23
600493,凤竹纺织,0.09,-55.98,,3.59,,2482.78,-56.0,,03-31
000677,恒天海龙,0.0,-57.69,,0.71,,193.17,-57.28,,03-30
601360,三六零,0.17,-57.38,,4.05,,6811.74,-57.28,,02-02
000777,中核科技,0.12,-57.75,,3.43,,4456.09,-57.73,10派0.4,03-27
300302,同有科技,0.12,-61.29,,6.91,,5082.66,-60.53,10派0.2,03-13
300483,沃施股份,0.09,-62.5,,1.33,,581.44,-60.62,,02-06
000404,华意压缩,0.15,-66.28,,3.41,,9712.36,-61.5,,03-31
600583,海油工程,0.11,-63.33,,2.13,,49105.55,-62.67,10派0.5,03-29
600418,江淮汽车,0.23,-68.06,,3.12,,43189.18,-62.83,10派0.7,03-21
000565,渝三峡A,0.19,-63.46,,8.01,,8112.54,-63.7,10派0.2,03-21
300534,陇神戎发,0.06,-91.59,,2.42,,1711.22,-63.79,10派0.12,03-23
601872,招商轮船,0.12,-63.64,,3.89,,61443.29,-64.48,10派0.35,03-28
000590,启迪古汉,0.08,-66.65,,4.42,,1917.38,-65.25,,03-31
